french,fongbe,labels
Nous aurions dû partir plus tôt ce matin.,Mǐ ɖó na ko ɖido zǎnzǎn tɛɛn égbé.,negative
Elle s’endormait toujours en regardant la télé.,É nɔ dɔ́ amlɔ hwebǐnu hwenu e é ɖò televiziɔn kpɔ́n wɛ é.,negative
"Après l’été, les jours raccourcissent vite.","Enyi hwenu e jǐ nɔ ja é gudo ɔ, azǎn lɛ nɔ yawu hwe.",positive
Il pleut depuis mardi sans s’arrêter.,Ji ɖo jija wɛ magbokɔ sin talatagbe.,negative
Je serai arrivé avant la tombée de la nuit.,un ná wá cóbónú zǎn ná kú.,neutral
"teignez tous vos appareils électroniques immédiatement, car nous allons procéder à un exercice d’évacuation d’urgence dans quelques minutes.","Mi cí nǔ e mi nɔ zán ɖò alokan jí lɛ é bǐ tlolo, ɖó mǐ na ɖò azɔ̌kplɔnmɛ ɖé bló wɛ bo na dó ɖè mɛ lɛ sín fí ɔ ɖò ajijimɛ ɖò cɛju klewun ɖé gudo.",neutral
"Veuillez vous rendre à la bibliothèque municipale avant dix-huit heures pour restituer les ouvrages empruntés le mois dernier, sinon des pénalités s’appliqueront.",Mi kɛnklɛn bo sɛ́ wema e mi yí ɖò sun e wá yì é mɛ lɛ é dó wemaxɔ toxo ɔ tɔn cobɔ gan 6 m.m.,positive
Rangez soigneusement vos dossiers dans le classeur métallique situé près de la fenêtre et verrouillez-le à clé avant de quitter le bureau.,Sɔ́ wema towe lɛ ɖó gan e mɛ è nɔ bɛ́ wema lɛ ɖó é mɛ ganji bo sú flɛtɛli ɔ kpá cobo tɔ́n sín azɔ̌xɔsa ɔ.,positive
"Ne touchez surtout pas à cette installation électrique, elle est extrêmement dangereuse et seul un professionnel habilité peut intervenir dessus.",Ma ɖ’alɔ nǔ e è nɔ zán dó bló lɛ̌ɛnkanvɔ na é enɛ wu ɖò ninɔmɛ ɖebǔ mɛ ó; é nyla tawun bɔ azɔ̌watɔ́ e jɛxa é kɛɖɛ wɛ ɖó na w’azɔ̌ d’eji.,negative
Rejoignez le point de rassemblement principal situé derrière le bâtiment administratif en suivant le marquage lumineux au sol.,Mi byɔ kpléɖókpɔ́ ɖaxó e ɖò xɔ e mɛ è nɔ kpé nukún dó nǔ lɛ wu ɖè é gudo é mɛ gbɔn wuntun e è sɔ́ weziza dó kɔ́mɛ lɛ é xwixwedó gblamɛ.,neutral
Préparez une présentation détaillée sur l’impact du réchauffement climatique pour la réunion de mercredi prochain.,Sɔ́ xóɖiɖɔ klewun ɖé dó nǔ e jɔhɔn e ɖò jiji wɛ ɖò gbɛ̀ ɔ mɛ é na wà dó mɛ wu é jí nú kplé e è na bló ɖò Aklunɔzángbe e ja é.,positive
Coupez le son de votre téléphone portable pendant toute la durée de la projection du film documentaire.,Cí gbè e ɖò alokan towe jí é nú hwenu e è na ɖò fímu xóxó ɔ xlɛ́ wɛ é bǐ.,neutral
Suivez rigoureusement le protocole de sécurité affiché à l’entrée du laboratoire avant de manipuler ces échantillons biologiques.,Nɔ xwedó tuto ayijayǐ tɔn e è xlɛ́ ɖò laboratoire sín hɔntogbo jí é syɛnsyɛn cobo nɔ kpé nukún dó nǔ e ɖò gbɛ̀ lɛ é wu.,negative
"Traduisez ce contrat juridique complexe en allemand d’ici vendredi, en veillant à respecter la terminologie technique spécifique.","Lilɛ akɔjijɛ sɛ́n tɔn e vɛwǔ é enɛ dó Allemand-gbè mɛ cobɔ Vɔsanúxwlémawutɔ́zɔ́ ɔ na wá sù, bo hɛn dó ayi mɛ ɖɔ emi ɖó sísí nú xógbe nǔnywɛ xwitixwiti tɔn tawun tawun lɛ.",negative
Ouvrez grand la fenêtre pour aérer la pièce après avoir utilisé ces produits d’entretien aux émanations fortes.,Hùn flɛtɛli ɔ ganji bonu jɔhɔn ni gbɔn xɔ ɔ mɛ hwenu e a zán nǔ e nɔ klɔ́ nǔ lɛ é enɛ lɛ e mɛ azizɔ syɛnsyɛn ɖè lɛ é gudo é.,positive
Verrouillez la porte derrière vous en sortant et activez le système d’alarme en composant le code secret à quatre chiffres.,"Sú hɔn ɔ dó gudo towe hwenu e a ɖò tíntɔ́n wɛ é, bo bló bɔ nǔ e nɔ xlɛ́ ɖɔ nǔ ɖé ɖò jijɛ wɛ é na w’azɔ̌ gbɔn kodɛ e ɖò nǔglɔ bo ɖó kɛ́n ɛnɛ é xixo gblamɛ.",neutral
"Envoyez-moi le rapport financier complet par courrier électronique avant midi, en incluant les graphiques d’évolution trimestriels.","Mi sɛ́ akwɛzinzan sín gbeɖiɖó ɔ bǐ dó mì gbɔn e-mail jí cobɔ gan na wá sù, bo lɛ́ sɛ́ ɖiɖe e nɔ xlɛ́ nǔ e ɖò jijɛ wɛ ɖò sun atɔn mɛ lɛ é dó mì.",neutral
Lavez-vous soigneusement les mains avec du savon bactéricide avant de pénétrer dans la zone stérile du bloc opératoire.,Klɔ́ alɔ towe lɛ ganji kpo aɖǐ e nɔ hu nǔvínúví lɛ é kpo cobo byɔ fí e è ma nɔ mɔ nǔvínúví lɛ ɖè ǎ é ɖò azɔ̌xɔsa ɔ.,negative
Mettez à jour votre logiciel antivirus dès maintenant pour protéger efficacement votre ordinateur contre les nouvelles menaces informatiques.,"Mi jla nǔ e nɔ ɖí xwi xá azɔnkwín lɛ é ɖó dìn, bo na dó cyɔn alɔ ɔdinatɛ́ɛ mitɔn jí ganji ɖò nǔ yɔyɔ̌ e nɔ hɛn nǔ gblé dó mɛ wu lɛ é sí.",positive
Attachez votre ceinture de sécurité et placez votre siège en position verticale pour la phase d’atterrissage de l’avion.,Mi blá gojiblánú mitɔn bo sɔ́ azinkpo mitɔn ɖó tɛn e mɛ jɔmɛhun ɔ na jɛte ɖè é.,neutral
"Ne révélez jamais vos identifiants de connexion à qui que ce soit, même à un collègue prétendant avoir besoin d’accéder à votre session.","Ma ɖè nǔ e a nɔ zán dó byɔ tɛn ɛntɛnɛti tɔn towe jí lɛ é xlɛ́ mɛɖebǔ gbeɖé ó, é na bo tlɛ nyí azɔ̌gbɛ́ towe e ɖɔ ɖɔ emi ɖó hudo tɛn ɛntɛnɛti tɔn towe tɔn é ó.",negative
uie toute la journée.,kéze ɔ́ bǐ mɛ.,negative
Elle chantait souvent.,É nɔ ji han hwɛhwɛ.,neutral
Nous partirons demain.,Mi na yi sɔ.,neutral
Finis tes devoirs !,Mi fó azɔ̌ e è sɔ́ d’así nú mi ɖò xwégbe é!,negative
Elles arrivent maintenant.,Ye ɖò wiwa wɛ dìn.,positive
Ne cours pas !,Ma kán wezun ó!,negative
On verra plus tard.,Mǐ na wá kpɔ́n ɖò nukɔnmɛ.,neutral
Vous étiez fatigués.,Nǔ cikɔ nú we.,negative
Soleil ce matin.,Hwesívɔ ɖò tíntɔ́n wɛ zǎnzǎn égbé.,positive
Elle viendrait peut-être.,É sixu wá.,neutral
J’ai dormi.,Un d&#39;amlɔ.,positive
Ils vont manger.,Ye ɖo nu ɖu wɛ.,neutral
"Autrefois, on écrivait.","Ð’ayǐ ɔ, mɛ lɛ nɔ wlan nǔ.",neutral
"Bientôt, je saurai.","Zaanɖé dìn ɔ, un na tuùn.",positive
Il aura neigé.,Laglasi na ko ja.,negative
Nous lisions beaucoup.,Mǐ nɔ xà nǔ gègě.,negative
Il pleuvra demain.,Ji na ja sɔ.,negative
Aurais-tu peur ?,Xɛsi ɖi we wɛ à?,negative
"Hier, il faisait beau.",Sɔ ɔ‚ hwenu ɔ nyɔ.,positive
Mange ta soupe !,Ɖu nuɖuɖu towe!,positive
Il serait déjà parti.,É na ko yì.,neutral
"Finalement, il neige.","Wǎgbɔ tɔn ɔ, laglasi ja.",negative
"silence n’est pas un vide, c’est un espace sacré où les mots justes attendent patiemment de naître.","Nǔ cícící nyí nǔ vɔ̌tɔ́ ǎ, tɛn mímɛ́ ɖé wɛ bɔ xógbe e sɔgbe lɛ é nɔ nɔte kpo suúlu kpo ɖɔ è ni jì emi.",positive
Un peuple qui oublie ses ancêtres est un arbre qui renie ses propres racines sous prétexte d’aimer le ciel.,"Togun e wɔn tɔ́gbó tɔn lɛ́ɛ ɔ́ cí atín e gbɛ́ ɖɔ émítɔn lɛ́ɛ, bó ɖɔ émí yí wǎn nú jǐnukúnsin é ɖɔhun.",positive
"La politesse française n’est pas une faiblesse, c’est l’art subtil de faire exister l’autre avant soi-même.","Mɛɖesɔhwe Flansé tɔn nyí gǎnmaɖó ɖé ǎ, é nyí nǔnywɛ e ɖò hwlahwlá bo nɔ zɔ́n bɔ mɛ ɖevo nɔ tíìn jɛ nukɔn nú mɛɖesunɔ é.",positive
Les bibliothèques sont des cathédrales laïques où le bruissement des pages remplace le chant des orgues.,Wemasɛxwetɛn lɛ nyí sinsɛnxɔ gbɛ̀ ɔ tɔn e mɛ wema lɛ sín xósusu nɔ ɖyɔ gbè e è nɔ dó ɖò nǔxixo mɛ é ɖè é.,neutral
"Un jardin à la française ne dompte pas la nature, il lui offre un miroir où elle découvre sa propre élégance.","Jikpá Flansé tɔn ɖé nɔ kplɔ́n nǔ dó nǔɖiɖó lɛ wu ǎ, é nɔ na ɛ nukúnnúmɔjɛnǔmɛ e mɛ é nɔ mɔ ɖɛkpɛ éɖesunɔ tɔn ɖè é.",positive
"L’ironie n’est pas la méchanceté déguisée, c’est la lucidité qui refuse de se prendre au sérieux.","Ironie nyí xomɛsin e è sɔ́ hwla é ǎ, é nyí lucidité e nɔ gbɛ ɖɔ emi kún na sɔ́ emiɖée dó ɖó nǔ taji ó é.",negative
Chaque dicton populaire est un testament invisible où nos aïeux ont coulé l’essentiel de leur expérience.,Xógbe e mɛ gègě nɔ ɖɔ lɛ é bǐ wɛ nyí kúnnuɖenú e è ma nɔ mɔ ǎ é ɖé bɔ tɔ́gbó mǐtɔn lɛ kɔn nǔ e ye mɔ kpɔ́n lɛ é sín xóta dó mɛ.,negative
La conversation française ressemble à un menu dégustation : on y savoure les mots avant de les avaler.,Xóɖɔɖókpɔ́ Flanségbe tɔn cí nǔ e è nɔ ɖu é ɖɔhun: a nɔ ɖu xógbe lɛ cobo nɔ mì ye.,positive
"Les mains du potier ne façonnent pas l’argile, elles libèrent la forme qui sommeillait au cœur de la terre.","Zɛ̌nmɛtɔ́ sín alɔ wɛ nɔ́ bló kɔ́ ǎ, yě nɔ́ ɖe kɔ́ e ɖo amlɔ mɛ ɖo ayǐkúngban ɔ́ sín xomɛ é síin.",neutral
"Un proverbe ne donne pas de réponse, il tend un miroir où chacun peut lire sa propre vérité.","Lǒ ɖé nɔ ná xósin ǎ, é nɔ sɔ́ nǔkpɛ́n ɖé jǐ bɔ mɛ ɖokpó ɖokpó ná sixú xà nǔgbó é ɖésúnɔ tɔn ɖ&#39;é mɛ.",neutral
"L’art de la table n’est pas un décorum bourgeois, c’est la célébration quotidienne du miracle d’être ensemble.","Nǔɖuɖu ɖuɖu sín azɔ̌ ɔ, bourgeois sín acɔ́ ɖé wɛ ǎ, é nyí xwèɖuɖu ayihɔngbe ayihɔngbe tɔn nú nùjiwǔ e ɖò kpɔ́ é.",positive
"Les grandes civilisations ne meurent pas assassinées, elles s’endorment lentement dans le confort de l’oubli.",Sivilizaciɔn ɖaxó ɖaxó lɛ nɔ kú gbɔn mɛhuhu gblamɛ ǎ; ye nɔ dɔ́ amlɔ kpɛɖé kpɛɖé ɖò gbɔdónúmɛ wɔnmɛ tɔn mɛ.,negative
La transmission orale est une flamme fragile qui ne survit qu’au prix d’une attention amoureuse et constante.,"Nǔ e è nɔ sɔ́ dó nu mɛ é nyí zǒ e ma syɛn sɔmɔ̌ ǎ é ɖé, bɔ wanyiyi kpo ayixa e è nɔ ɖó nú mɛ hwebǐnu é kpo kɛɖɛ wɛ nɔ gán.",negative
Le fromage affiné nous apprend que la patience transforme la matière sans jamais trahir son origine.,Fromage xóxó ɔ kplɔ́n mǐ ɖɔ suúluɖiɖo nɔ huzu nǔ lɛ bo nɔ ɖè fí e ye gosin é xlɛ́ gbeɖé ǎ.,positive
"Un conte traditionnel traverse les siècles non parce qu’il est immuable, mais parce qu’il sait se réinventer.","Hwenuxó e è nɔ zán ɖò aca mɛ é ɖé nɔ nɔ ayǐ ɖò xwè kanweko lɛ vlamɛ, é nyí ɖó é ma nɔ ɖyɔ ǎ wutu ǎ, loɔ, ɖó é tuùn lee é na vɔ́ éɖée bló gbɔn é wu wɛ.",positive
L’honnêteté intellectuelle consiste à chercher la lumière sans jamais prétendre l’avoir inventée.,"Nugbǒɖiɖɔ nǔnywɛ tɔn wɛ nyí ɖɔ è ni ba weziza ɔ, bo ma ka ɖɔ gbeɖé ɖɔ emi wɛ ɖó ayǐ ǎ.",positive
"La langue française n’appartient plus à la France, elle est devenue ce jardin partagé où le monde entier vient cultiver sa pensée.",Flanségbe sɔ́ nyí Flansé tɔn ǎ; é ko huzu jikpá enɛ e mɛ gbɛ̀ ɔ bǐ nɔ wá bo nɔ lɛ̀ linlin tɔn lɛ ɖè é.,positive
Les pierres des châteaux parlent encore quand nous acceptons de poser notre main sur leur mémoire silencieuse.,Hwàn e ɖò xɔ ɖaxó lɛ mɛ lɛ é kpó ɖò xó ɖɔ wɛ hwenu e mǐ yí gbè bo na sɔ́ alɔ mǐtɔn ɖó flínflín yetɔn e ɖò cícící jí é jí é.,positive
L’éducation ne consiste pas à remplir un vase mais à révéler la source qui dort en chacun de nous.,"Nǔkplɔnmɛ nyí ɖɔ è ni gɔ́ gannu ɖé ǎ, loɔ, è ni ɖè jɔtɛn e ɖò amlɔ mɛ ɖò mǐ mɛ ɖokpo ɖokpo mɛ é xlɛ́.",neutral
"Un vin de garde est une promesse faite aux générations futures, un message vieilli dans l’obscurité pour éclater en lumière.","Vɛ̌ɛn e è sɔ́ ɖó te nú mɛxoxwe é nyí akpá e è dó nú jijimɛ e ja lɛ é é, wɛn ɖé wɛ bo ko kpò ɖò ablu mɛ bo na tɔ́n ɖò weziza mɛ.",positive
"La carte n’est pas le territoire, et la culture n’est pas l’érudition mais l’art d’habiter le monde.","Fí e è ɖè é wɛ nyí fí e è nɔ ɖekúnnu ɖè é ǎ, bɔ aca ɔ nyí nǔnywɛ xwitixwiti ǎ, loɔ, nǔnywɛ e è nɔ zán dó nɔ gbɛ̀ ɔ mɛ é wɛ.",neutral
"Les ruines ne sont pas des échecs, ce sont des arbres pétrifiés dont les racines continuent de nourrir notre présent.","Nǔ e è hɛn gblé lɛ é nyí nǔ e è ma kpéwú bo wà ǎ lɛ é ǎ, loɔ, atín e cí awinnya ɖɔhun bɔ ɖɔ̀ yetɔn lɛ kpó ɖò nǔɖuɖu na mǐ wɛ ɖò égbé é wɛ.",negative
"La mode passera, le style est cette élégance intérieure que rien ne peut démoder.","Ajɔ na wá yì, amɔ̌, acɔ wɛ nyí ɖɛkpɛ e ɖò ayi mɛ é enɛ e nǔɖe ma sixu bló ɖò ajɔ mɛ ǎ é.",positive
Un adage populaire concentre en quelques mots l’expérience épurée de centaines de vies qui se sont trompées avant de comprendre.,Xógbe e mɛ gègě nɔ zán é ɖé xò nǔ e gbɛzán kanweko mɔkpan e jɛ nyì dò cobɔ ye wá mɔ nukúnnú jɛ mɛ é kplé ɖò xógbe klewun ɖé mɛ.,negative
"L’émotion devant un paysage n’est pas romantique, elle est l’écho lointain de notre parenté oubliée avec la terre.","Lee nǔ nɔ cí nú mɛ ɖò ayikúngban ɖé nukɔn é nyí wanyiyi sín nǔ ǎ; é wɛ nyí gbè e ɖò zɔ é ɖé, bo nɔ xlɛ́ hɛ̌nnumɔ mǐtɔn e mǐ wɔn xá ayikúngban ɔ é.",negative
L’apéritif n’est pas un rite d’alcoolisme mais un seuil sacré où l’on dépose le poids du travail avant d’entrer dans la lumière du partage.,"Aperitif ɔ nyí ahan syɛnsyɛn nunu sín nǔwiwa ɖé ǎ, loɔ, hɔntogbo mímɛ́ ɖé wɛ bɔ mɛɖé nɔ sɔ́ azɔ̌ sín agban ɖó te cobo nɔ byɔ weziza nǔ má ɖó kpɔ́ tɔn mɛ.",positive
Les manuscrits enluminés nous rappellent que la beauté du geste peut rendre éternelle la fragilité d’une idée.,Alɔwliwli e mɛ weziza ɖè lɛ é nɔ flín mǐ ɖɔ ɖɛkpɛ e alɔɖiɖó ɔ ɖó é sixu zɔ́n bɔ linlin ɖé sín hlɔnhlɔn na nɔ ayǐ kaka sɔyi.,positive
La sagesse des nations est un immense collier de perles imparfaites où chaque culture a déposé sa douleur apprivoisée.,"Nǔnywɛ akɔta lɛ tɔn nyí kɔlivla ɖaxó ɖé bɔ è sɔ́ jɛ̌ maɖóblɔ̌ lɛ dó bló na, bɔ aca ɖokpo ɖokpo sɔ́ wuvɛ̌ tɔn e è ko kplɔ́n é ɖó finɛ.",positive
"La fable ne ment jamais vraiment, elle habille la vérité d’un costume d’animal pour qu’elle ose enfin se montrer nue.",Xójláwémá ɔ́ nɔ́ ɖó adingban nǔgbó gbeɖé ǎ; é nɔ sɔ́ kanlin sín awu dó nǔgbo ɔ mɛ bonu é na wá kpankɔ́n bo na ɖè éɖée xlɛ́ ɖò mɛ̌.,negative
"Le patrimoine n’est pas un musée poussiéreux, c’est un legs vibrant que chaque génération doit réinventer sans le trahir.","Gǔ ɔ, xɔgbigbázɔ́watɛn kɔ́fu tɔn ɖé wɛ ǎ, é nyí gǔ e ɖò gbɛ̀ é ɖé bɔ jijimɛ ɖokpo ɖokpo ɖó na vɔ́ blóɖó bo ma na sà ɛ ǎ.",positive
marché est très concurrentiel en ce moment.,Axi ɔ ɖò agbahwlɛnhwlɛn ɖé mɛ tawun dìn.,negative
Nous devons fidéliser notre clientèle existante.,Mǐ ɖó na hɛn axisinɔ mǐtɔn e ko tíìn lɛ é.,positive
Notre chiffre d'affaires a augmenté de vingt pour cent.,Nǔ e mǐ nɔ sà é fɔ́n bo ɖò jijɛji wɛ ɖò kanweko jí.,positive
Pouvez-vous me transmettre le devis détaillé ?,A sixu sɛ́ xógbe e è wlan é dó mì à?,neutral
La livraison est prévue pour la semaine prochaine.,È ɖó na sɛ́ wema ɔ dó ɖò aklunɔzán gbla e bɔ d’ewu é mɛ.,neutral
Nous cherchons à développer notre part de marché.,Mǐ ɖò biba na gbló ada nú axi mǐtɔn wɛ.,positive
Avez-vous signé le contrat avec le fournisseur ?,A ka ko wlan alɔ dó akɔjijɛ ɔ mɛ xá nǔsatɔ́ ɔ à?,neutral
Notre objectif est de réduire les coûts.,Nǔ e gbé nya wɛ mǐ ɖè é wɛ nyí ɖɔ mǐ ni ɖè akwɛzinzan lɛ kpò.,positive
Je vous enverrai la facture par courrier électronique.,Un na sɛ́ facture ɔ dó we gbɔn email jí.,neutral
Le service client est notre priorité absolue.,Azɔ̌ e mǐ nɔ wà nú axisinɔ lɛ é wɛ nyí nǔ nukɔntɔn e mǐ nɔ wà é.,positive
Nous lançons un nouveau produit le mois prochain.,Mǐ ɖò nǔ yɔyɔ̌ ɖé tɔ́n wɛ ɖò sun e ja é mɛ.,positive
Quel est votre délai de paiement habituel ?,Hwenu nabi a ka nɔ sú akwɛ hwɛhwɛ?,neutral
Nous avons perdu un client important récemment.,Mǐ hɛn axisinɔ taji ɖé bú ɖò malin-malin mɛ dìn.,negative
La négociation a abouti à un accord.,Xóɖɔɖókpɔ́ ɔ zɔ́n bɔ è ɖó gbè kpɔ́.,positive
Pouvez-vous nous faire une meilleure offre ?,A ka sixu na mǐ nǔ ɖagbe hugǎn ɖé à?,negative
Notre entreprise recrute de nouveaux collaborateurs.,Azɔ̌xwé mǐtɔn ɖò azɔ̌watɔ́ yɔyɔ̌ lɛ yí wɛ.,positive
Les stocks sont presque épuisés actuellement.,Nǔ e ɖò akwɛzinzan ɔ mɛ lɛ é ɖibla vɔ ɖò hwe enɛ nu.,negative
Nous investissons dans la recherche et développement.,Mǐ nɔ sɔ́ akwɛ dó dobanúnǔ kpo nukɔnyiyi kpo mɛ.,positive
La marge bénéficiaire est trop faible.,Nǔ e è nɔ mɔ ɖ’emɛ é hwe dín.,negative
Je vous remercie pour votre commande.,Mi do ku nu mi nu mi zɔn.,positive
L'assemblée générale aura lieu vendredi.,Kpléɖókpɔ́ ɖaxó ɔ na jɛ ɖò vendredi.,neutral
Nous devons améliorer notre image de marque.,Mǐ ɖó na bló bɔ ɖiɖe mǐtɔn na nyɔ́ hugǎn.,positive
Le taux de conversion est encourageant.,Lee mɛ lɛ nɔ huzu sinsɛn gbɔn é nɔ dó wusyɛn lanmɛ nú mɛ.,positive
Pouvez-vous relancer le client pour le paiement ?,A ka sixu xwedó axisinɔ ɔ dó akwɛzinzan wu à?,neutral
Nous recherchons des partenaires stratégiques.,Mǐ ɖò xɔ́ntɔn ɖagbe lɛ ba wɛ.,neutral
La campagne publicitaire a été efficace.,Nǔjlajla ɔ hɛn lè wá.,positive
Le bilan comptable est positif cette année.,Nǔ e è mɔ ɖò akwɛ linu lɛ é nyɔ́ ɖò xwè elɔ mɛ.,positive
Nous livrons uniquement en France métropolitaine.,France tò ɖaxó ɔ mɛ kɛɖɛ wɛ mǐ nɔ sɛ́ nǔ dó.,neutral
Votre offre correspond parfaitement à nos besoins.,Nǔ e a nɔ xwlé mǐ é sɔgbe tawun xá hudo mǐtɔn lɛ.,positive
Merci de confirmer votre présence à la réunion.,Mi kɛnklɛn bo ɖexlɛ́ ɖɔ emi wá kplé ɔ.,positive
’exercice quotidien renforce le cœur et améliore la circulation sanguine.,"‘Azɔwanúmɛ ayihɔngbe ayihɔngbe tɔn nɔ na hlɔnhlɔn ayi, bo nɔ lɛ́ zɔ́n bɔ hun nɔ sà ganji.",positive
Bien dormir est essentiel pour la régénération du corps et de l’esprit.,Amlɔ didó ganji ɖò taji nú agbaza kpo ayixa kpo sín hlɔnhlɔn ɖiɖó.,positive
Mangez cinq fruits et légumes par jour pour rester en bonne santé.,Ɖu atín sínsɛ́n kpo ama kpo atɔ́ɔ́n ɖò kéze ɖokpo mɛ bo na dó nɔ ganji.,positive
L’hydratation régulière aide à maintenir une peau éclatante et élastique.,"Enyi è nɔ na sìn hwɛhwɛ ɔ, é nɔ d’alɔ bɔ agbaza ɔ nɔ kɔ́n bo nɔ lɛ́ syɛn.",positive
Réduire le stress diminue les risques de maladies cardiovasculaires.,"Enyi è ɖè adohu adohu kpò ɔ, é nɔ ɖè ayizɔn lɛ kpò.",negative
La méditation améliore la concentration et apaise l’anxiété chronique.,"Tamɛ linlin nɔ zɔ́n bɔ è nɔ sɔ́ ayi ɖó nǔ jí ganji, bo nɔ lɛ́ ɖè adohu adohu e ma nɔ fó ǎ é kpò.",positive
Un bilan dentaire annuel prévient les caries et les maladies des gencives.,"Aɖu lɛ kpinkpɔn xwewu xwewu nɔ zɔ́n bɔ aɖu lɛ nɔ xú ǎ, bɔ aɖu lɛ nɔ xú ǎ.",neutral
Pratiquer un sport diminue l’hypertension et renforce les os.,"Lɔnyiji-lɔnfɔnkan nɔ zɔ́n bɔ hun nɔ jɛ dò, bo nɔ lɛ́ hɛn xú lɛ lidǒ.",positive
Évitez le tabac pour protéger vos poumons et votre cœur.,Nɔ nyì alɔ nú azɔ bo na dó cyɔn alɔ fɔngɔ́ towe kpo ayi towe kpo jí.,positive
La posture correcte évite les douleurs dorsales et cervicales.,Nǔ e sɔgbe é nɔ zɔ́n bɔ è nɔ sè wuvɛ̌ ɖò akɔ́n kpo kɔ kpo mɛ ǎ.,positive
Consommer trop de sucre favorise le diabète et l’obésité.,Sukle ɖuɖu zɛ xwé wu nɔ zɔ́n bɔ è nɔ jɛ aɖɔwézɔn kpo è nɔ ɖu nǔ zɛ xwé wu kpo.,negative
Les étirements matinaux réveillent les muscles en douceur.,Nǔ e è nɔ dlɛn zǎnzǎn lɛ é nɔ fɔ́n kan lɛ bléblé.,positive
Faire des pauses visuelles prévient la fatigue oculaire numérique.,Gbɔjɛ nukúnmɛ tɔn ɖiɖó nɔ glɔ́n ali nú nukúnmɛ dijitalu tɔn.,positive
Une alimentation équilibrée booste le système immunitaire naturellement.,Nǔɖuɖu e ɖò jlɛ̌ jí é nɔ zɔ́n bɔ agbaza mɛtɔn nɔ ɖí xwi xá azɔn ɖò jɔwamɔ linu.,positive
La marche rapide trente minutes par jour améliore le souffle.,"Enyi è nɔ ɖi zɔnlin kpo hlɔnhlɔn kpo nú cɛju gban ɖò kéze ɖokpo mɛ ɔ, é nɔ zɔ́n bɔ è nɔ gbɔjɛ ganji.",positive
Limiter l’alcool réduit les risques de cancer et de cirrhose.,"Enyi è ɖó dogbó nú ahan nunu ɔ, é nɔ ɖè kansɛ́ɛzɔn kpo cirrhose kpo sín afɔku kpò.",negative
Le rire libère des endorphines et diminue le stress.,"Nǔkiko nɔ ɖè nǔ e nɔ nyí endorphines é tɔ́n, bo nɔ ɖè linkpɔ́nzɔn kpò.",positive
Aérer sa chambre chaque nuit favorise un sommeil réparateur.,Xɔ towe mɛ jɔhɔn zǎnmɛ tɛgbɛ nɔ zɔ́n bɔ a nɔ dɔ́ amlɔ ganji.,positive
Se laver les mains régulièrement évite la propagation des virus.,Alɔ klɔ́ hwɛhwɛ nɔ zɔ́n bɔ azɔnkwín lɛ nɔ gbakpé ǎ.,positive
Le yoga renforce la souplesse et apaise le mental.,"Yoga nɔ zɔ́n bɔ è nɔ bló nǔ lɛ ganji, bo nɔ lɛ́ bló bɔ ayi mɛtɔn nɔ fá.",positive
Trop de sédentarité augmente les risques de maladies chroniques.,"Enyi è nɔ nɔ ayǐ zɛ xwé wu ɔ, é nɔ zɔ́n bɔ azɔn e ma nɔ gbɔ ǎ lɛ é nɔ jɛji.",negative
Écouter son corps permet de détecter les signaux d’alerte.,Ðǒtó agbaza towe nɔ zɔ́n bɔ a nɔ tuùn wuntun e nɔ xlɛ́ ɖɔ nǔ ɖé ɖò jijɛ wɛ lɛ é.,neutral
Les protéines maigres aident à maintenir la masse musculaire.,Protéines e ma ɖó lanmɛ ǎ lɛ é nɔ d’alɔ bɔ kan lɛ nɔ syɛn.,positive
Protéger sa peau du soleil prévient le vieillissement prématuré.,"Enyi a cyɔn alɔ agbaza towe jí sín hwesivɔ nu ɔ, é nɔ zɔ́n bɔ a nɔ yawu kpò ǎ.",positive
La respiration profonde calme instantanément le système nerveux.,Gbɔjɛ syɛnsyɛn nɔ zɔ́n bɔ hǔn ɔ nɔ fá tlolo.,positive
Maintenir un poids santé réduit la pression sur les articulations.,"Enyi è hɛn agbaza mɛtɔn ɖó ganji ɔ, é nɔ ɖè kɔgbidinúmɛ e ɖò xú lɛ jí é kpò.",positive
Les oméga-3 sont bénéfiques pour le cerveau et la vision.,Omega-3 lɛ nɔ wà ɖagbe nú taglomɛ kpo nukúnnúmɔjɛnǔmɛ kpo.,positive
Consulter régulièrement son médecin permet de dépister à temps.,"Enyi a nɔ yì ba dotóo towe kpɔ́n hwɛhwɛ ɔ, é nɔ zɔ́n bɔ è nɔ yawu tuùn nǔ ɔ.",positive
Prendre soin de ses dents protège aussi le cœur.,Aɖu towe lɛ kpinkpɔn nɔ lɛ́ cyɔn alɔ ayi towe jí.,positive
Le contact avec la nature abaisse la pression artérielle.,Nǔ e è nɔ wà xá nǔɖiɖó lɛ é nɔ zɔ́n bɔ hun nɔ jɛ dò.,positive
Éteignez tous vos appareils électroniques avant de commencer l’examen qui aura lieu dans cette salle.,Mi ci azɔwanu mitɔn lɛ bi cobɔ mi na jɛ tɛnkpɔn e na jɛ ɖo xɔ elɔ mɛ ɔ ji.,negative
Veillez à bien arroser les plantes du bureau tous les lundis matins sans exception.,"Mi hɛn dó ayi mɛ ɖɔ mi nɔ kɔn sìn dó atín e ɖò azɔ̌xɔsa lɛ é jí ɖò Lundi zǎnzǎn lɛ bǐ, mɛɖebǔ ma nɔ ɖè ye ɖó vo ó.",positive
